id,categories,title,titleCN,image_filename,example_code_path,series_types_detected,data_source_type,dimensions_count_detected,dataset_source_rows_detected,dataset_or_row_field_count_detected,max_inline_array_width_detected,max_object_fields_detected,data_requirement_summary,analysis_confidence
doc-example/grid-outerBounds,,grid outerBounds example,,,public/examples/ts/doc-example/grid-outerBounds.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/label-position,,,,,public/examples/ts/doc-example/label-position.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/line-stack-tiled,,,,,public/examples/ts/doc-example/line-stack-tiled.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/map-example,,,,,public/examples/ts/doc-example/map-example.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/map-visualMap-continuous,,,,,public/examples/ts/doc-example/map-visualMap-continuous.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/map-visualMap-continuous-text,,,,,public/examples/ts/doc-example/map-visualMap-continuous-text.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/map-visualMap-pieces,,,,,public/examples/ts/doc-example/map-visualMap-pieces.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/map-visualMap-piecewise-text,,,,,public/examples/ts/doc-example/map-visualMap-piecewise-text.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/matrix-graph-box,,,,,public/examples/ts/doc-example/matrix-graph-box.ts,graph,dataset.source+series.data+nodes+links,,,4,,4,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
doc-example/mix-timeline-all,,,,,public/examples/ts/doc-example/mix-timeline-all.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/parallel-all,,,,,public/examples/ts/doc-example/parallel-all.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pictorialBar-clip,,,,,public/examples/ts/doc-example/pictorialBar-clip.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pictorialBar-graphicType,,,,,public/examples/ts/doc-example/pictorialBar-graphicType.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pictorialBar-patternSize,,,,,public/examples/ts/doc-example/pictorialBar-patternSize.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pictorialBar-position,,,,,public/examples/ts/doc-example/pictorialBar-position.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pictorialBar-repeat,,,,,public/examples/ts/doc-example/pictorialBar-repeat.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pictorialBar-repeatDirection,,,,,public/examples/ts/doc-example/pictorialBar-repeatDirection.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pictorialBar-repeatLayout,,,,,public/examples/ts/doc-example/pictorialBar-repeatLayout.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pictorialBar-symbolBoundingDataArray,,,,,public/examples/ts/doc-example/pictorialBar-symbolBoundingDataArray.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pictorialBar-symbolSize,,,,,public/examples/ts/doc-example/pictorialBar-symbolSize.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pie-highlight,,,,,public/examples/ts/doc-example/pie-highlight.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pie-label-bleedMargin,,,,,public/examples/ts/doc-example/pie-label-bleedMargin.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pie-label-distanceToLabelLine,,,,,public/examples/ts/doc-example/pie-label-distanceToLabelLine.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pie-label-margin,,,,,public/examples/ts/doc-example/pie-label-margin.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/pie-media,,,,,public/examples/ts/doc-example/pie-media.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/polar-anticlockwise,,,,,public/examples/ts/doc-example/polar-anticlockwise.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/polar-end-angle,,,,,public/examples/ts/doc-example/polar-end-angle.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/polar-start-angle,,,,,public/examples/ts/doc-example/polar-start-angle.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/radar,,,,,public/examples/ts/doc-example/radar.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/scatter-dataZoom-all,,,,,public/examples/ts/doc-example/scatter-dataZoom-all.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/scatter-jitter-avoidOverlap,,,,,public/examples/ts/doc-example/scatter-jitter-avoidOverlap.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/scatter-tutorial-dataZoom-1,,,,,public/examples/ts/doc-example/scatter-tutorial-dataZoom-1.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/scatter-tutorial-dataZoom-2,,,,,public/examples/ts/doc-example/scatter-tutorial-dataZoom-2.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/scatter-tutorial-dataZoom-3,,,,,public/examples/ts/doc-example/scatter-tutorial-dataZoom-3.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/scatter-visualMap-categories,,,,,public/examples/ts/doc-example/scatter-visualMap-categories.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/scatter-visualMap-piecewise,,,,,public/examples/ts/doc-example/scatter-visualMap-piecewise.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/sunburst-color,,,,,public/examples/ts/doc-example/sunburst-color.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/sunburst-highlight-ancestor,,,,,public/examples/ts/doc-example/sunburst-highlight-ancestor.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/sunburst-highlight-descendant,,,,,public/examples/ts/doc-example/sunburst-highlight-descendant.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/sunburst-label-align,,,,,public/examples/ts/doc-example/sunburst-label-align.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/sunburst-simple,,,,,public/examples/ts/doc-example/sunburst-simple.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/text-block-fragment,,,,,public/examples/ts/doc-example/text-block-fragment.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/text-fregment-align,,,,,public/examples/ts/doc-example/text-fregment-align.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/text-options,,,,,public/examples/ts/doc-example/text-options.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/timeline-dynamic-series,,,,,public/examples/ts/doc-example/timeline-dynamic-series.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/title-block,,,,,public/examples/ts/doc-example/title-block.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/treemap-borderColor,,,,,public/examples/ts/doc-example/treemap-borderColor.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/tutorial-async,,,,,public/examples/ts/doc-example/tutorial-async.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/tutorial-dynamic-data,,,,,public/examples/ts/doc-example/tutorial-dynamic-data.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/tutorial-loading,,,,,public/examples/ts/doc-example/tutorial-loading.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/tutorial-styling-step0,,,,,public/examples/ts/doc-example/tutorial-styling-step0.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/tutorial-styling-step1,,,,,public/examples/ts/doc-example/tutorial-styling-step1.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/tutorial-styling-step2,,,,,public/examples/ts/doc-example/tutorial-styling-step2.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/tutorial-styling-step3,,,,,public/examples/ts/doc-example/tutorial-styling-step3.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/tutorial-styling-step4,,,,,public/examples/ts/doc-example/tutorial-styling-step4.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/tutorial-styling-step5,,,,,public/examples/ts/doc-example/tutorial-styling-step5.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/value-animation-simple,,,,,public/examples/ts/doc-example/value-animation-simple.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
geo-lines,map,Migration,模拟迁徙,geo-lines.png,public/examples/ts/geo-lines.ts,,unknown/static option,,,"2+（name,value；另需地图数据）",,,"地图区域名 + 数值: name, value；另需 map/geoJSON",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
geo-map-scatter,map,map and scatter share a geo,map and scatter share a geo,,public/examples/ts/geo-map-scatter.ts,,unknown/static option,,,"2+（name,value；另需地图数据）",,,"地图区域名 + 数值: name, value；另需 map/geoJSON",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
lines-bmap,map;lines,A Hiking Trail in Hangzhou - Baidu Map,杭州热门步行路线 - 百度地图,lines-bmap.png,public/examples/ts/lines-bmap.ts,lines,series.data+external file/api,,,2+（坐标/值，可附加维度）,,,"地图区域名 + 数值: name, value；另需 map/geoJSON；线段坐标: coords [[lng,lat],[lng,lat]] 或 from/to",medium（基于官方示例源码静态解析 + 分类规则）
lines-bmap-bus,map;lines,Bus Lines of Beijing - Baidu Map,北京公交路线 - 百度地图,lines-bmap-bus.png,public/examples/ts/lines-bmap-bus.ts,lines,series.data+external file/api,,,2+（坐标/值，可附加维度）,,,"地图区域名 + 数值: name, value；另需 map/geoJSON；线段坐标: coords [[lng,lat],[lng,lat]] 或 from/to",medium（基于官方示例源码静态解析 + 分类规则）
lines-bmap-effect,map;lines,Bus Lines of Beijing - Line Effect,北京公交路线 - 线特效,lines-bmap-effect.png,public/examples/ts/lines-bmap-effect.ts,lines,series.data+external file/api,,,2+（坐标/值，可附加维度）,,,"地图区域名 + 数值: name, value；另需 map/geoJSON；线段坐标: coords [[lng,lat],[lng,lat]] 或 from/to",medium（基于官方示例源码静态解析 + 分类规则）
map-bin,map,Binning on Map,在地图上显示分箱图,map-bin.png,public/examples/ts/map-bin.ts,,unknown/static option,,,"2+（name,value；另需地图数据）",,,"地图区域名 + 数值: name, value；另需 map/geoJSON",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
map-polygon,map,Draw Polygon on Map,在地图上绘制多边形,,public/examples/ts/map-polygon.ts,,unknown/static option,,,"2+（name,value；另需地图数据）",,,"地图区域名 + 数值: name, value；另需 map/geoJSON",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
scatter-map,scatter,Air Quality,全国主要城市空气质量,,public/examples/ts/scatter-map.ts,,unknown/static option,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
scatter-map-brush,scatter,Scatter Map Brush,Scatter Map Brush,,public/examples/ts/scatter-map-brush.ts,bar;effectScatter;scatter,series.data,,,2,2,2,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
scatter-weibo,scatter,Sign in of weibo,微博签到数据点亮中国,scatter-weibo.png,public/examples/ts/scatter-weibo.ts,scatter,series.data+external file/api,,,2,2,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
